Balancing Group;Load;Generator;Flex Load;Flex Generator;smart
FRCE;-;FRCE Gen;-;-;False
Biomass;-;Biomass Gen;-;-;False
Lignite;-;Lignite Gen;-;-;False
Group_Gas;-;-;-;Fossil_Gas Gen;True
Fossil_Hard_Coal;-;Fossil_Hard_Coal Gen;-;-;False
Fossil_Oil;-;Fossil_Oil Gen;-;-;False
Geothermal;-;Geothermal Gen;-;-;False
Hydro_Pump;Hydro_Pump Load;Hydro_Pump Gen;-;-;False
Hydro_Run;-;Hydro_Run Gen;-;-;False
Hydro_Reservoir;-;Hydro_Reservoir Gen;-;-;False
Nuclear;-;Nuclear Gen;-;-;False
Other;-;Other Gen;-;-;False
Other_Renew;-;Other_Renew Gen;-;-;False
Waste;-;Waste Gen;-;-;False
Solar;-;Solar_REST Gen;-;Solar_2017_1 Gen,Solar_2017_2 Gen,Solar_2017_3 Gen,Solar_2018_1 Gen,Solar_2018_2 Gen,Solar_2018_3 Gen;True
Wind_Offshore;-;Wind_Offshore_REST Gen;-;Wind_Offshore_2017 Gen,Wind_Offshore_2018 Gen;True
Wind_Onshore;-;Wind_Onshore_REST Gen;-;Wind_Onshore_2017_1 Gen,Wind_Onshore_2017_2 Gen,Wind_Onshore_2017_3 Gen,Wind_Onshore_2018_1 Gen,Wind_Onshore_2018_2 Gen,Wind_Onshore_2018_3 Gen,Wind_Onshore_2018_4 Gen;True
Aluminium;-;-;-;-;True
Steel;-;-;-;-;True
Cement;-;-;-;-;True
Paper;-;-;-;-;True
Chlorine;-;-;-;-;True
Dummy;Dummy Load;Dummy Gen;-;-;False
