Asset;sb_rate_pos;sb_rate_neg;sb_P_min;sb_P_max;sb_costs;bg_name;class
Solar_2017_1 Gen;200;200;0;200;65.8;Solar;GeneratorFlex
Solar_2017_2 Gen;201;201;0;201;56.6;Solar;GeneratorFlex
Solar_2017_3 Gen;222;222;0;222;49.1;Solar;GeneratorFlex
Solar_2018_1 Gen;201;201;0;201;43.3;Solar;GeneratorFlex
Solar_2018_2 Gen;183;183;0;183;45.9;Solar;GeneratorFlex
Solar_2018_3 Gen;192;192;0;192;46.9;Solar;GeneratorFlex
Wind_Offshore_2017 Gen;93.125;93.125;149;1490;4.4;Wind_Offshore;GeneratorFlex
Wind_Offshore_2018 Gen;100.625;100.625;161;1610;46.6;Wind_Offshore;GeneratorFlex
Wind_Onshore_2017_1 Gen;50.4375;50.4375;80.7;807;57.1;Wind_Onshore;GeneratorFlex
Wind_Onshore_2017_2 Gen;63.3125;63.3125;101.3;1013;42.8;Wind_Onshore;GeneratorFlex
Wind_Onshore_2017_3 Gen;62.5;62.5;100;1000;38.2;Wind_Onshore;GeneratorFlex
Wind_Onshore_2018_1 Gen;44.3125;44.3125;70.9;709;47.3;Wind_Onshore;GeneratorFlex
Wind_Onshore_2018_2 Gen;37.75;37.75;60.4;604;57.3;Wind_Onshore;GeneratorFlex
Wind_Onshore_2018_3 Gen;41.625;41.625;66.6;666;61.6;Wind_Onshore;GeneratorFlex
Wind_Onshore_2018_4 Gen;22.6875;22.6875;36.3;363;62.6;Wind_Onshore;GeneratorFlex
Aluminium_electrolyzer;281;281;0;281;0;Aluminium;SmartBalancingAsset
Steel_arc_furnace;753;753;0;753;0;Steel;SmartBalancingAsset
Cement_raw_mill;116;116;50;116;0;Cement;SmartBalancingAsset
Cement_mill;265;265;113;265;0;Cement;SmartBalancingAsset
Paper_polisher;207;207;46;207;0;Paper;SmartBalancingAsset
Paper_refiner;105;105;23;105;0;Paper;SmartBalancingAsset
Chlorine_amalgam;114;114;72;114;0;Chlorine;SmartBalancingAsset
Chlorine_membrane;359;359;227;359;0;Chlorine;SmartBalancingAsset
